,number,value,datetime_start,datetime_complete,duration,params_basis_window,params_coint_window,params_horizon,params_n_estimators,params_ofi_window,params_threshold,params_vol_window,state
116,116,0.0,2025-11-07 19:35:34.780717,2025-11-07 19:35:38.257287,0 days 00:00:03.476570,109,68,46,972,177,0.04003015732205017,102,COMPLETE
117,117,0.0,2025-11-07 19:35:38.257512,2025-11-07 19:35:41.600446,0 days 00:00:03.342934,141,86,37,908,150,0.04854187876308407,94,COMPLETE
118,118,0.0,2025-11-07 19:35:41.600675,2025-11-07 19:35:43.262282,0 days 00:00:01.661607,68,120,28,236,160,0.038139194787875565,179,COMPLETE
119,119,0.0,2025-11-07 19:35:43.262488,2025-11-07 19:35:46.643264,0 days 00:00:03.380776,87,124,39,946,88,0.04289505825261938,166,COMPLETE
120,120,0.0,2025-11-07 19:35:46.643513,2025-11-07 19:35:48.190426,0 days 00:00:01.546913,62,200,31,205,133,0.04999519134201927,109,COMPLETE
121,121,0.0,2025-11-07 19:35:48.190609,2025-11-07 19:35:51.185554,0 days 00:00:02.994945,156,72,48,834,106,0.03583774675130597,127,COMPLETE
122,122,0.0,2025-11-07 19:35:51.185761,2025-11-07 19:35:54.150404,0 days 00:00:02.964643,147,111,57,775,167,0.04377017854740374,190,COMPLETE
123,123,0.0,2025-11-07 19:35:54.150606,2025-11-07 19:35:56.902658,0 days 00:00:02.752052,151,60,60,681,146,0.03689829060795804,137,COMPLETE
124,124,0.0,2025-11-07 19:35:56.902924,2025-11-07 19:35:59.538016,0 days 00:00:02.635092,163,78,35,649,179,0.04170569922643936,124,COMPLETE
125,125,0.0,2025-11-07 19:35:59.538212,2025-11-07 19:36:02.592141,0 days 00:00:03.053929,170,64,40,807,79,0.036586283727918785,120,COMPLETE
126,126,0.0,2025-11-07 19:36:02.592406,2025-11-07 19:36:06.191549,0 days 00:00:03.599143,77,179,51,990,99,0.03378452200221165,133,COMPLETE
127,127,0.0,2025-11-07 19:36:06.191812,2025-11-07 19:36:07.556231,0 days 00:00:01.364419,157,131,11,146,170,0.03731170460470262,140,COMPLETE
128,128,0.0,2025-11-07 19:36:07.556415,2025-11-07 19:36:10.364949,0 days 00:00:02.808534,129,106,16,750,184,0.035399161945755014,194,COMPLETE
129,129,0.0,2025-11-07 19:36:10.365150,2025-11-07 19:36:13.420291,0 days 00:00:03.055141,136,91,44,852,188,0.03280014258325527,157,COMPLETE
130,130,0.0,2025-11-07 19:36:13.420491,2025-11-07 19:36:15.174782,0 days 00:00:01.754291,115,101,58,274,127,0.038726665016982166,78,COMPLETE
131,131,0.0,2025-11-07 19:36:15.174961,2025-11-07 19:36:16.442046,0 days 00:00:01.267085,197,138,42,115,142,0.03623311720569013,149,COMPLETE
132,132,0.0,2025-11-07 19:36:16.442227,2025-11-07 19:36:18.365473,0 days 00:00:01.923246,192,98,45,393,197,0.03828415224086966,143,COMPLETE
133,133,0.0,2025-11-07 19:36:18.365650,2025-11-07 19:36:20.820658,0 days 00:00:02.455008,196,128,38,543,134,0.03092947179820555,129,COMPLETE
134,134,0.0,2025-11-07 19:36:20.820865,2025-11-07 19:36:23.815206,0 days 00:00:02.994341,188,183,20,801,124,0.04943185135421705,187,COMPLETE
135,135,0.0,2025-11-07 19:36:23.815569,2025-11-07 19:36:26.520887,0 days 00:00:02.705318,65,135,41,703,193,0.0302006690003698,160,COMPLETE
136,136,0.0,2025-11-07 19:36:26.521085,2025-11-07 19:36:28.625620,0 days 00:00:02.104535,177,82,14,436,71,0.044264246933763476,86,COMPLETE
137,137,0.0,2025-11-07 19:36:28.625824,2025-11-07 19:36:31.460475,0 days 00:00:02.834651,185,166,25,725,121,0.03208510294875631,153,COMPLETE
138,138,0.0,2025-11-07 19:36:31.460684,2025-11-07 19:36:34.022578,0 days 00:00:02.561894,125,196,43,598,137,0.03429658021813502,114,COMPLETE
139,139,0.0,2025-11-07 19:36:34.022894,2025-11-07 19:36:35.618164,0 days 00:00:01.595270,94,172,39,211,175,0.04583467462316917,90,COMPLETE
140,140,0.0,2025-11-07 19:36:35.618369,2025-11-07 19:36:38.685376,0 days 00:00:03.067007,174,141,29,817,132,0.03341260431880597,66,COMPLETE
141,141,0.0,2025-11-07 19:36:38.685648,2025-11-07 19:36:41.160379,0 days 00:00:02.474731,167,154,52,501,153,0.03917082097162579,119,COMPLETE
142,142,0.0,2025-11-07 19:36:41.160590,2025-11-07 19:36:44.049036,0 days 00:00:02.888446,70,150,50,765,150,0.04147543591885562,124,COMPLETE
143,143,0.0,2025-11-07 19:36:44.049262,2025-11-07 19:36:47.212781,0 days 00:00:03.163519,103,144,47,912,141,0.030784160914761854,98,COMPLETE
144,144,0.0,2025-11-07 19:36:47.213045,2025-11-07 19:36:48.667279,0 days 00:00:01.454234,98,159,41,176,162,0.03125720830813949,102,COMPLETE
145,145,0.0,2025-11-07 19:36:48.667462,2025-11-07 19:36:51.705018,0 days 00:00:03.037556,74,115,54,827,116,0.042144720873244904,96,COMPLETE
146,146,0.0,2025-11-07 19:36:51.705222,2025-11-07 19:36:53.660112,0 days 00:00:01.954890,153,105,45,365,144,0.03782621634629394,83,COMPLETE
147,147,0.0,2025-11-07 19:36:53.660312,2025-11-07 19:36:56.792208,0 days 00:00:03.131896,120,124,33,885,128,0.04044101794264148,70,COMPLETE
148,148,0.0,2025-11-07 19:36:56.792481,2025-11-07 19:37:00.306946,0 days 00:00:03.514465,80,170,53,956,155,0.039448646467137916,108,COMPLETE
